scenario,classifier,features_used,accuracy_mean,accuracy_variance,accuracy_min,accuracy_max,precision_mean,precision_variance,precision_min,precision_max,recall_mean,recall_variance,recall_min,recall_max,f1_score_mean,f1_score_variance,f1_score_min,f1_score_max,roc_auc_mean,roc_auc_variance,roc_auc_min,roc_auc_max,ngram,vectorizer
Review,Random Forest,"c, o, n, t, e, n, t",0.7609083484675979,7.522358320046239e-05,0.7509853099247582,0.7731995700465782,0.5380893748029228,0.007296467669005605,0.4457831325301205,0.664179104477612,0.12577351930040132,8.721675095047002e-05,0.10930576070901034,0.13146233382570163,0.20351934322400664,0.00027445013847206967,0.17556346381969157,0.21948212083847105,0.7046364695896221,0.0010851961714577257,0.6663807716440582,0.7388787418476248,"(1, 2)",TF-IDF
Review,SVC,"c, o, n, t, e, n, t",0.7493006840448063,7.114498572349271e-05,0.7388032963095664,0.7578796561604585,0.4074717995571615,0.009190229447029087,0.2903225806451613,0.5121951219512195,0.0625917743994632,4.857139688437679e-05,0.053175775480059084,0.0723781388478582,0.10822765035945554,0.00017695427834090648,0.0898876404494382,0.12596401028277637,0.6388577170236779,0.0026942928828618826,0.5944767177807372,0.7017883170367349,"(1, 2)",TF-IDF
Review,Logistic Regression,"c, o, n, t, e, n, t",0.7217153683709097,0.0005874514620599065,0.689358652812612,0.745969186671444,0.3510696984863794,0.006097189587136698,0.27986348122866894,0.4393939393939394,0.1550088669864882,0.0006485352563565801,0.12112259970457903,0.18759231905465287,0.2126965579883998,0.0008400837425755235,0.16907216494845365,0.2465462274176408,0.6158341965061759,0.002880997185731303,0.5728553680953732,0.6851397939319916,"(1, 2)",TF-IDF
Review,KNN,"c, o, n, t, e, n, t",0.6254167868681466,0.0010098554188733852,0.5908276603367969,0.6636819484240688,0.24895288208820077,0.0007656250525512717,0.21119592875318066,0.28780487804878047,0.264551225909901,0.0010112294507420275,0.23303834808259588,0.31610044313146235,0.2552188683626024,0.00041534835250836815,0.22693096377306904,0.2737819025522042,0.5127312061280245,0.0006498126949572535,0.47761424504848454,0.5495520103370423,"(1, 2)",TF-IDF
Review,XGBoost,"c, o, n, t, e, n, t",0.731099656180991,0.0010589941324606706,0.6753851666069509,0.7585959885386819,0.3275683052856966,0.019653450535166747,0.1365079365079365,0.5208333333333334,0.06554031973438255,7.730011737257137e-05,0.051698670605613,0.07374631268436578,0.10675003720992457,0.00035673826886956924,0.08669354838709678,0.12919896640826872,0.6756494737460143,0.0022538942920819565,0.6203218607329067,0.739160677427965,"(1, 2)",TF-IDF
Review,Random Forest,"c, o, n, t, e, n, t",0.7609800073712167,0.00012219465201912375,0.7502687208885704,0.7782156932998925,0.5381649088508171,0.011106688430821911,0.44623655913978494,0.7071428571428572,0.1257726478520978,0.00028544640974221235,0.10044313146233383,0.14623338257016247,0.20356978186726268,0.0008193322658046434,0.1644498186215236,0.24235006119951039,0.7074062307506643,0.0015279635100967576,0.6609485333061297,0.754173135696608,"(1, 3)",TF-IDF
Review,SVC,"c, o, n, t, e, n, t",0.7554628877716854,1.4094447828852409e-05,0.7509853099247582,0.7589541547277937,0.45398644833427443,0.01377367087586075,0.30434782608695654,0.5757575757575758,0.028047999372557218,1.9604910815144467e-05,0.0206794682422452,0.03249630723781388,0.05274810911086271,7.07062020482072e-05,0.03872752420470263,0.06136680613668061,0.6569271238082475,0.002249763329208412,0.6104251183290967,0.7126262421585574,"(1, 3)",TF-IDF
Review,Logistic Regression,"c, o, n, t, e, n, t",0.7416343106526401,0.0002010403746705537,0.7269795772124686,0.7585094948047295,0.3903797694078049,0.008789199342318034,0.296875,0.5095541401273885,0.09950022439793817,0.0001952304733864196,0.08419497784342689,0.11816838995568685,0.15760893559186942,0.0005072981860564795,0.13118527042577677,0.19184652278177458,0.638888195866259,0.002631096901022176,0.5956435887080433,0.7026330756900958,"(1, 3)",TF-IDF
Review,KNN,"c, o, n, t, e, n, t",0.6236968961839068,0.00140943557310145,0.5729129344321032,0.664756446991404,0.2604643843815121,0.0010350672262302708,0.22236024844720498,0.3080357142857143,0.2928937748090439,0.0017654889530773492,0.24926253687315633,0.35745937961595275,0.2740224093409987,0.0006868606235683438,0.2415654520917679,0.30666666666666664,0.5153926419159437,0.0008692484242169866,0.48093528547811665,0.5604677902339509,"(1, 3)",TF-IDF
Review,XGBoost,"c, o, n, t, e, n, t",0.7314577453727136,0.0010602407296243148,0.6761017556431387,0.7582378223495702,0.3351261826339226,0.01868878649094286,0.14860681114551083,0.5151515151515151,0.06790543043010332,3.1371197242827914e-05,0.060561299852289516,0.0752212389380531,0.11011385591394582,0.00017568780662693316,0.09599999999999999,0.1312741312741313,0.675997559837571,0.002207483054391007,0.622317419636132,0.7394887288653123,"(1, 3)",TF-IDF
