,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Precision,Recall,F1_Score,Accuracy,AUROC,Features,Classifier,Dataset,Technique,N-Grama,Scenario
83,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.5071198003708706,,KNN,ReviewTagged,TF-IDF,1-2,reviewTagged
84,0.6859903381642513,0.6824644549763034,0.6794258373205742,0.6889952153110048,0.6826923076923077,0.6857142857142858,0.6824644549763034,0.6889952153110048,0.6857142857142858,0.6842105263157895,0.7367505322680341,,XGBoost,ReviewTagged,TF-IDF,1-2,reviewTagged
85,0.7222222222222222,0.6680672268907563,0.6220095693779905,0.7607655502392344,0.6683804627249357,0.7114093959731543,0.6680672268907563,0.7607655502392344,0.7114093959731543,0.6913875598086124,0.743435360912067,,Random Forest,ReviewTagged,TF-IDF,1-3,reviewTagged
86,0.7692307692307693,0.589171974522293,0.3827751196172249,0.8851674641148325,0.5111821086261981,0.7074569789674953,0.589171974522293,0.8851674641148325,0.7074569789674953,0.6339712918660287,0.7292644399166687,,SVC,ReviewTagged,TF-IDF,1-3,reviewTagged
87,0.7065868263473054,0.6374501992031872,0.5645933014354066,0.7655502392344498,0.6276595744680851,0.6956521739130435,0.6374501992031872,0.7655502392344498,0.6956521739130435,0.6650717703349283,0.7284631762093358,,Logistic Regression,ReviewTagged,TF-IDF,1-3,reviewTagged
88,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.5,,KNN,ReviewTagged,TF-IDF,1-3,reviewTagged
89,0.6923076923076923,0.6904761904761905,0.6889952153110048,0.69377990430622,0.6906474820143885,0.6921241050119331,0.6904761904761905,0.69377990430622,0.6921241050119331,0.6913875598086124,0.7343581877704264,,XGBoost,ReviewTagged,TF-IDF,1-3,reviewTagged
90,0.7704918032786885,0.6114864864864865,0.44976076555023925,0.8660287081339713,0.56797583081571,0.7168316831683168,0.6114864864864865,0.8660287081339713,0.7168316831683168,0.6578947368421053,0.711613745106568,,Random Forest,ReviewTagged,TF-IDF,2-2,reviewTagged
91,0.7525773195876289,0.5763239875389408,0.3492822966507177,0.8851674641148325,0.477124183006536,0.6981132075471698,0.5763239875389408,0.8851674641148325,0.6981132075471698,0.6172248803827751,0.7146928870676037,,SVC,ReviewTagged,TF-IDF,2-2,reviewTagged
92,0.7164179104477612,0.602112676056338,0.45933014354066987,0.8181818181818182,0.5597667638483965,0.6937119675456389,0.602112676056338,0.8181818181818182,0.6937119675456389,0.638755980861244,0.694191982784277,,Logistic Regression,ReviewTagged,TF-IDF,2-2,reviewTagged
93,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.5047846889952153,,KNN,ReviewTagged,TF-IDF,2-2,reviewTagged
94,0.686046511627907,0.6300813008130082,0.5645933014354066,0.7416267942583732,0.6194225721784776,0.6813186813186813,0.6300813008130082,0.7416267942583732,0.6813186813186813,0.65311004784689,0.6861450058377785,,XGBoost,ReviewTagged,TF-IDF,2-2,reviewTagged
95,0.7857142857142857,0.5205128205128206,0.10526315789473684,0.9712918660287081,0.18565400843881855,0.67779632721202,0.5205128205128206,0.9712918660287081,0.67779632721202,0.5382775119617225,0.63841258212953,,Random Forest,ReviewTagged,TF-IDF,3-3,reviewTagged
96,0.3333333333333333,0.4987951807228916,0.004784688995215311,0.9904306220095693,0.009433962264150941,0.6634615384615384,0.4987951807228916,0.9904306220095693,0.6634615384615384,0.49760765550239233,0.6760605297497768,,SVC,ReviewTagged,TF-IDF,3-3,reviewTagged
97,0.7222222222222222,0.51,0.06220095693779904,0.9760765550239234,0.1145374449339207,0.6699507389162561,0.51,0.9760765550239234,0.6699507389162561,0.5191387559808612,0.6410567523637278,,Logistic Regression,ReviewTagged,TF-IDF,3-3,reviewTagged
98,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.5,,KNN,ReviewTagged,TF-IDF,3-3,reviewTagged
99,0.6176470588235294,0.5567375886524822,0.4019138755980861,0.7511961722488039,0.48695652173913045,0.6395112016293278,0.5567375886524822,0.7511961722488039,0.6395112016293278,0.5765550239234449,0.5827133078455164,,XGBoost,ReviewTagged,TF-IDF,3-3,reviewTagged
100,0.600896860986547,0.6153846153846154,0.6411483253588517,0.5741626794258373,0.6203703703703703,0.5940594059405941,0.6153846153846154,0.5741626794258373,0.5940594059405941,0.6076555023923444,0.6667429774959365,,Random Forest,ReviewTagged,Word2Vec,1-1,reviewTagged
101,0.5582089552238806,0.7349397590361446,0.8947368421052632,0.291866028708134,0.6875,0.4178082191780822,0.7349397590361446,0.291866028708134,0.4178082191780822,0.5933014354066986,0.6412398983539755,,SVC,ReviewTagged,Word2Vec,1-1,reviewTagged
102,0.5743944636678201,0.6666666666666666,0.7942583732057417,0.41148325358851673,0.6666666666666667,0.5088757396449703,0.6666666666666666,0.41148325358851673,0.5088757396449703,0.6028708133971292,0.6157597124607954,,Logistic Regression,ReviewTagged,Word2Vec,1-1,reviewTagged
103,0.5882352941176471,0.6643835616438356,0.7655502392344498,0.46411483253588515,0.6652806652806652,0.5464788732394366,0.6643835616438356,0.46411483253588515,0.5464788732394366,0.6148325358851675,0.633708019505048,,KNN,ReviewTagged,Word2Vec,1-1,reviewTagged
104,0.6359447004608295,0.6467661691542289,0.6602870813397129,0.6220095693779905,0.647887323943662,0.6341463414634146,0.6467661691542289,0.6220095693779905,0.6341463414634146,0.6411483253588517,0.6912845401890984,,XGBoost,ReviewTagged,Word2Vec,1-1,reviewTagged
105,0.695,0.6788990825688074,0.6650717703349283,0.7081339712918661,0.6797066014669926,0.6932084309133489,0.6788990825688074,0.7081339712918661,0.6932084309133489,0.6866028708133971,0.740253199331517,,Random Forest,ReviewTagged,Bag-of-Words,1-1,reviewTagged
106,0.6481481481481481,0.6584158415841584,0.6698564593301436,0.6363636363636364,0.6588235294117647,0.6472019464720196,0.6584158415841584,0.6363636363636364,0.6472019464720196,0.65311004784689,0.6941233030379341,,SVC,ReviewTagged,Bag-of-Words,1-1,reviewTagged
107,0.6702127659574468,0.6391304347826087,0.6028708133971292,0.7033492822966507,0.6347607052896725,0.6697038724373576,0.6391304347826087,0.7033492822966507,0.6697038724373576,0.65311004784689,0.6794945170669171,,Logistic Regression,ReviewTagged,Bag-of-Words,1-1,reviewTagged
108,0.7857142857142857,0.5574712643678161,0.2631578947368421,0.9282296650717703,0.39426523297491034,0.696588868940754,0.5574712643678161,0.9282296650717703,0.696588868940754,0.5956937799043063,0.6981754080721595,,KNN,ReviewTagged,Bag-of-Words,1-1,reviewTagged
109,0.6984924623115578,0.680365296803653,0.6650717703349283,0.7129186602870813,0.6813725490196079,0.6962616822429906,0.680365296803653,0.7129186602870813,0.6962616822429906,0.6889952153110048,0.7334996909411413,,XGBoost,ReviewTagged,Bag-of-Words,1-1,reviewTagged
110,0.6965174129353234,0.6820276497695853,0.6698564593301436,0.7081339712918661,0.6829268292682927,0.6948356807511737,0.6820276497695853,0.7081339712918661,0.6948356807511737,0.6889952153110048,0.7434010210388957,,Random Forest,ReviewTagged,Bag-of-Words,1-2,reviewTagged
111,0.6528497409326425,0.6311111111111111,0.6028708133971292,0.6794258373205742,0.6268656716417911,0.6543778801843319,0.6311111111111111,0.6794258373205742,0.6543778801843319,0.6411483253588517,0.7062452782674389,,SVC,ReviewTagged,Bag-of-Words,1-2,reviewTagged
112,0.6612903225806451,0.6293103448275862,0.5885167464114832,0.6985645933014354,0.6227848101265823,0.6621315192743764,0.6293103448275862,0.6985645933014354,0.6621315192743764,0.6435406698564593,0.689315720793938,,Logistic Regression,ReviewTagged,Bag-of-Words,1-2,reviewTagged
113,0.8214285714285714,0.5230769230769231,0.11004784688995216,0.9760765550239234,0.19409282700421943,0.681135225375626,0.5230769230769231,0.9760765550239234,0.681135225375626,0.5430622009569378,0.6711957143838282,,KNN,ReviewTagged,Bag-of-Words,1-2,reviewTagged
114,0.6859903381642513,0.6824644549763034,0.6794258373205742,0.6889952153110048,0.6826923076923077,0.6857142857142858,0.6824644549763034,0.6889952153110048,0.6857142857142858,0.6842105263157895,0.7367505322680341,,XGBoost,ReviewTagged,Bag-of-Words,1-2,reviewTagged
115,0.7303370786516854,0.6708333333333333,0.6220095693779905,0.7703349282296651,0.6718346253229973,0.7171492204899776,0.6708333333333333,0.7703349282296651,0.7171492204899776,0.6961722488038278,0.7426226505803439,,Random Forest,ReviewTagged,Bag-of-Words,1-3,reviewTagged
116,0.6914285714285714,0.6378600823045267,0.5789473684210527,0.7416267942583732,0.6302083333333335,0.6858407079646017,0.6378600823045267,0.7416267942583732,0.6858407079646017,0.6602870813397129,0.7133421853895286,,SVC,ReviewTagged,Bag-of-Words,1-3,reviewTagged
117,0.6740331491712708,0.6329113924050633,0.583732057416268,0.7177033492822966,0.6256410256410257,0.6726457399103138,0.6329113924050633,0.7177033492822966,0.6726457399103138,0.6507177033492823,0.7060048991552391,,Logistic Regression,ReviewTagged,Bag-of-Words,1-3,reviewTagged
118,0.9166666666666666,0.5123152709359606,0.05263157894736842,0.9952153110047847,0.09954751131221719,0.6764227642276422,0.5123152709359606,0.9952153110047847,0.6764227642276422,0.5239234449760766,0.619399739016964,,KNN,ReviewTagged,Bag-of-Words,1-3,reviewTagged
119,0.6923076923076923,0.6904761904761905,0.6889952153110048,0.69377990430622,0.6906474820143885,0.6921241050119331,0.6904761904761905,0.69377990430622,0.6921241050119331,0.6913875598086124,0.7343581877704264,,XGBoost,ReviewTagged,Bag-of-Words,1-3,reviewTagged
120,0.7478260869565218,0.594059405940594,0.41148325358851673,0.861244019138756,0.5308641975308641,0.703125,0.594059405940594,0.861244019138756,0.703125,0.6363636363636364,0.7161008218676314,,Random Forest,ReviewTagged,Bag-of-Words,2-2,reviewTagged
121,0.7083333333333334,0.5838926174496645,0.40669856459330145,0.8325358851674641,0.5167173252279635,0.6863905325443788,0.5838926174496645,0.8325358851674641,0.6863905325443788,0.6196172248803827,0.7008310249307479,,SVC,ReviewTagged,Bag-of-Words,2-2,reviewTagged
122,0.6797385620915033,0.6037735849056604,0.49760765550239233,0.7655502392344498,0.574585635359116,0.6751054852320676,0.6037735849056604,0.7655502392344498,0.6751054852320676,0.631578947368421,0.681257297223049,,Logistic Regression,ReviewTagged,Bag-of-Words,2-2,reviewTagged
123,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.5,,KNN,ReviewTagged,Bag-of-Words,2-2,reviewTagged
124,0.686046511627907,0.6300813008130082,0.5645933014354066,0.7416267942583732,0.6194225721784776,0.6813186813186813,0.6300813008130082,0.7416267942583732,0.6813186813186813,0.65311004784689,0.6861450058377785,,XGBoost,ReviewTagged,Bag-of-Words,2-2,reviewTagged
125,0.8095238095238095,0.5163727959697733,0.08133971291866028,0.9808612440191388,0.14782608695652172,0.6765676567656765,0.5163727959697733,0.9808612440191388,0.6765676567656765,0.5311004784688995,0.6400837892905382,,Random Forest,ReviewTagged,Bag-of-Words,3-3,reviewTagged
126,0.625,0.5024390243902439,0.023923444976076555,0.9856459330143541,0.04608294930875576,0.6655896607431341,0.5024390243902439,0.9856459330143541,0.6655896607431341,0.5047846889952153,0.6566928412811062,,SVC,ReviewTagged,Bag-of-Words,3-3,reviewTagged
127,0.7222222222222222,0.5209424083769634,0.12440191387559808,0.9521531100478469,0.2122448979591837,0.673434856175973,0.5209424083769634,0.9521531100478469,0.673434856175973,0.5382775119617225,0.6248025457292645,,Logistic Regression,ReviewTagged,Bag-of-Words,3-3,reviewTagged
128,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.5,,KNN,ReviewTagged,Bag-of-Words,3-3,reviewTagged
129,0.6176470588235294,0.5567375886524822,0.4019138755980861,0.7511961722488039,0.48695652173913045,0.6395112016293278,0.5567375886524822,0.7511961722488039,0.6395112016293278,0.5765550239234449,0.5827133078455164,,XGBoost,ReviewTagged,Bag-of-Words,3-3,reviewTagged
130,0.8125,0.7654867256637168,0.7464114832535885,0.8277511961722488,0.7780548628428928,0.7954022988505747,0.7654867256637168,0.8277511961722488,0.7954022988505747,0.7870813397129187,0.8536091206703142,,Random Forest,UserReview,TF-IDF,1-1,userReview
131,0.8933333333333333,0.7201492537313433,0.6411483253588517,0.9234449760765551,0.7465181058495821,0.809224318658281,0.7201492537313433,0.9234449760765551,0.809224318658281,0.7822966507177034,0.8792610059293515,,SVC,UserReview,TF-IDF,1-1,userReview
132,0.6712328767123288,0.6884422110552764,0.7033492822966507,0.6555023923444976,0.6869158878504673,0.6715686274509803,0.6884422110552764,0.6555023923444976,0.6715686274509803,0.6794258373205742,0.7588196240928551,,Logistic Regression,UserReview,TF-IDF,1-1,userReview
133,0.8448275862068966,0.7459016393442623,0.7033492822966507,0.8708133971291866,0.7676240208877285,0.8035320088300222,0.7459016393442623,0.8708133971291866,0.8035320088300222,0.7870813397129187,0.8738696458414414,,KNN,UserReview,TF-IDF,1-1,userReview
